"Id","Creation Time","Tags","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/origin_class","metrics/cf/K_vectors","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","parameters/experiment/relabel_with_disc_model","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-5506","2024-05-14 00:27:45","[""plausability"",""OUR"",""GLOBAL_PPCEF"",""exp_v7""]","MultilayerPerceptron","LawDataset","1","13.0","0.8283582329750061","0.7657657861709595","0.9738805970149254","true","1.8573741912841797","0.28425773526293885","0.46549398989022317","0.053963851992065145","1.0307843685150146"
"COUN-5505","2024-05-14 00:21:25","[""plausability"",""OUR"",""GLOBAL_PPCEF"",""exp_v7""]","LogisticRegression","LawDataset","1","8.0","0.9955752491950989","0.8222222328186035","0.995575221238938","true","2.010277032852173","0.21977035666127903","0.3481914374894566","0.05833789166368931","1.0385475158691406"
"COUN-5504","2024-05-14 00:19:10","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultilayerPerceptron","WineDataset","2","5.0","1.0","0.7272727489471436","0.9090909090909091","true","8.88868522644043","0.8247846576958685","2.6358378662897106","0.06504035183159655","1.0102587938308716"
"COUN-5503","2024-05-14 00:18:45","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultilayerPerceptron","WineDataset","1","5.0","1.0","1.0","0.9","true","9.47801399230957","0.714838200488025","2.18927107155323","0.07941030393807756","1.0017145872116089"
"COUN-5502","2024-05-14 00:17:51","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultilayerPerceptron","WineDataset","0","6.0","0.9333333373069763","1.0","0.8","true","9.043794631958008","0.7856467396750267","2.4768007212717618","0.06917033147635901","1.008612036705017"
"COUN-5501","2024-05-14 00:17:27","[""plausability"",""OUR"",""GLOBAL_PPCEF"",""exp_v7""]","MultilayerPerceptron","LawDataset","0","10.0","0.9273743033409119","0.7349397540092468","0.9050279329608939","true","2.0720396041870117","0.28970062642378497","0.45658672973513603","0.05336958647490593","1.0434205532073975"
"COUN-5500","2024-05-14 00:17:06","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultinomialLogisticRegression","WineDataset","2","3.0","1.0","1.0","0.6","true","9.56556224822998","0.8460243115332048","2.598226132011041","0.07306309798831537","1.0057470798492432"
"COUN-5499","2024-05-14 00:16:31","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultinomialLogisticRegression","WineDataset","1","6.0","1.0","1.0","0.7142857142857143","true","10.09010124206543","0.821342775297142","2.475674898762788","0.07064448683012128","1.0117542743682861"
"COUN-5498","2024-05-14 00:16:18","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultinomialLogisticRegression","WineDataset","0","2.0","1.0","1.0","1.0","true","9.62104320526123","0.7406471051321369","2.2756663115384677","0.07381733169682858","1.0101332664489746"
"COUN-5497","2024-05-14 00:13:25","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultilayerPerceptron","BlobsDataset","2","4.0","1.0","0.7799999713897705","0.99","true","3.023256778717041","0.6527087120135425","0.897488711012993","0.0301667133054367","1.0366085767745972"
"COUN-5496","2024-05-14 00:11:49","[""GLOBAL_PPCEF"",""OUR"",""plausability"",""exp_v7""]","MultilayerPerceptron","BlobsDataset","1","5.0","1.0","0.7699999809265137","0.93","true","2.957906484603882","0.4234605389279207","0.592421050965786","0.03846341536683526","1.0473754405975342"
"COUN-5495","2024-05-14 00:10:00","[""plausability"",""OUR"",""GLOBAL_PPCEF"",""exp_v7""]","LogisticRegression","LawDataset","0","10.0","1.0","0.7844036817550659","0.9587155963302753","true","2.0416741371154785","0.2501771072148898","0.4140481595804385","0.05237200498098884","1.0426267385482788"
